name,time_cg,nnzR,each_nnz
494_bus,3.751,1666,16
mesh3e1,2.245,1889,16
mesh3em5,2.158,1889,16
mesh2e1,2.768,2018,16
mesh2em5,2.577,2018,16
Trefethen_150,1.468,2040,16
mhdb416,1.351,2312,16
bcsstk05,1.675,2423,16
lund_a,1.678,2449,16
662_bus,2.811,2474,16
Trefethen_200b,1.588,2873,16
Trefethen_200,1.631,2890,16
bcsstk20,1.977,3135,16
685_bus,3.192,3249,16
nos6,1.901,3255,16
bcsstk04,1.662,3648,16
1138_bus,3.841,4054,16
bcsstk02,1.459,4356,16
nos7,1.891,4617,16
Trefethen_300,1.556,4678,16
nos5,1.744,5172,16
plat362,1.914,5786,16
bcsstk19,2.03,6853,16
bcsstm07,1.728,7252,16
Chem97ZtZ,1.95,7361,16
gr_30_30,1.938,7744,16
bcsstk06,1.906,7860,16
bcsstk07,1.789,7860,16
Trefethen_500,1.662,8478,16
Trefethen_700,1.714,12654,16
bcsstk08,2.436,12960,16
nos3,1.89,15844,16
mhd3200b,2.161,18316,16
bcsstk09,1.991,18437,16
bcsstm12,2.563,19659,16
bcsstk34,1.887,21418,16
bcsstk10,1.985,22070,16
ex33,2.253,22189,16
mhd1280b,1.647,22778,16
bcsstk21,2.73,26600,16
mhd4800b,2.61,27520,16
msc01050,2.291,29156,16
bcsstk26,2.661,30336,16
plbuckle,2.13,30644,16
plat1919,2.91,32399,16
bcsstk11,2.126,34241,16
bcsstk12,2.091,34241,16
msc00726,1.916,34518,16
nasa1824,2.284,39208,16
nasa1824,2.306,39208,16
Trefethen_2000,2.62,41906,16
bcsstk23,3.655,45178,16
msc01440,2.938,46270,16
ex3,2.38,52685,16
ex10,2.934,54840,16
bcsstk27,1.775,56126,16
ex10hs,3.24,57308,16
bcsstk14,2.537,63454,16
bloweybq,6.106,69991,16
nasa2146,2.39,72250,16
sts4098,4.346,72356,16
ex13,2.999,75628,16
bcsstk13,3.061,83883,16
fv1,5.293,85264,16
fv2,6.729,87025,16
fv3,6.803,87025,16
msc04515,4.412,97707,16
ex15,5.675,98671,16
ex9,3.895,99471,16
nasa4704,4.833,104756,16
nasa4704,4.783,104756,16
crystm01,5.324,105339,16
bcsstk15,3.318,117816,16
bodyy4,8.795,121938,16
aft01,5.823,125567,16
bodyy5,9.902,129281,16
bodyy6,8.362,134748,16
ted_B,5.89,144579,16
ted_B_unscaled,5.896,144579,16
bcsstk18,7.458,149090,16
bcsstk24,4.261,159910,16
Muu,7.326,170134,16
nasa2910,3.617,174296,16
nasa2910,3.555,174296,16
t2dah_e,5.944,176117,16
minsurfo,11.678,203622,16
s3rmt3m3,5.549,207695,16
bcsstk28,4.71,219024,16
s1rmt3m1,5.752,219521,16
s2rmt3m1,6.162,219521,16
s3rmt3m1,5.843,219521,16
bcsstk25,7.891,252241,16
s1rmq4m1,6.073,281111,16
s2rmq4m1,5.717,281111,16
s3rmq4m1,6.017,281111,16
bcsstk16,5.181,290378,16
Kuu,7.069,340200,16
bcsstk38,7.556,355460,16
gyro_m,16.204,340431,64
cvxbqp1,14.473,349968,64
bcsstk17,10.837,428650,16
wathen100,12.225,471601,64
gridgena,12.613,512084,64
apache1,14.638,542184,96
Trefethen_20000b,13.875,554435,64
Trefethen_20000,15.343,554466,96
wathen120,12.728,565761,64
thermal1,28.212,574458,96
crystm03,17.559,583770,96
finan512,20.5,596992,96
cbuckle,7.995,676515,32
thermomech_TC,36.387,711558,128
thermomech_TK,45.432,711558,128
Pres_Poisson,10.14,715804,64
G2_circuit,34.418,726674,96
olafu,12.878,1015156,96
gyro_k,19.98,1021159,128
gyro,19.916,1021159,128
Dubcova2,26.634,1030225,256
bcsstk36,18.688,1143140,128
msc23052,23.346,1154814,256
denormal,15.1,1156224,256
msc10848,15.135,1229778,256
raefsky4,18.181,1328611,256
thermomech_dM,66.319,1423116,256
2cubes_sphere,56.975,1647264,256
qa8fm,14.493,1660579,1024
cfd1,72.223,1828364,256
vanbody,32.306,2336898,512
nasasrb,30.791,2677324,512
ct20stif,42.752,2698463,512
cfd2,42.047,3087898,512
nd3k,17.346,3279690,512
oilpan,70.552,3597188,512
Dubcova3,48.518,3636649,512
parabolic_fem,108.76,3674625,1024
smt,40.001,3753184,512
s3dkt3m2,87.424,3753461,512
cant,13.518,4007383,1024
thread,36.482,4470048,1024
ship_001,48.162,4644230,1024
apache2,56.395,4817870,1024
s3dkq4m2,25.806,4820891,1024
ecology2,85.109,4995991,1024
tmt_sym,81.925,5080961,1024
consph,95.935,6010480,1024
shipsec8,42.342,6653399,1024
boneS01,48.508,6715152,1024
nd6k,28.738,6897316,1024
bmw7st_1,53.353,7339667,1024
shipsec1,48.098,7813404,2048
ship_003,51.035,8086034,2048
m_t1,27.066,9753570,2048
shipsec5,59.655,10113096,2048
x104,39.541,10167624,2048
crankseg_1,91.98,10614210,2048
bmwcra_1,42.023,10644002,2048
hood,60.86,10768436,2048
pwtk,52.982,11634424,2048
BenElechi1,47.443,13150496,2048
crankseg_2,112.019,14148858,2048
nd12k,61.762,14220946,2048
af_0_k101,83.725,17550675,4096
af_1_k101,84.067,17550675,4096
af_2_k101,83.861,17550675,4096
af_3_k101,83.836,17550675,4096
af_4_k101,83.592,17550675,4096
af_5_k101,83.876,17550675,4096
af_shell3,81.493,17588875,4096
af_shell4,82.712,17588875,4096
af_shell7,81.654,17588875,4096
af_shell8,82.643,17588875,4096
bundle_adj,108.132,20208051,4096
msdoor,149.666,20240935,4096
Fault_639,168.614,28614564,4139
nd24k,133.9,28715634,4096
PFlow_742,174.366,37138461,5373
ldoor,191.752,46522475,6730
boneS10,193.919,55468422,8024
bcsstm02,1.299,66,16
LF10,1.453,82,16
bcsstm22,1.167,138,16
Trefethen_20b,1.33,147,16
bcsstm05,1.29,153,16
Trefethen_20,1.313,158,16
ex5,1.343,279,16
mesh1e1,1.552,306,16
mesh1em1,1.555,306,16
mesh1em6,1.559,306,16
bcsstk01,1.196,400,16
bcsstm06,1.627,420,16
bcsstm20,1.463,485,16
nos4,1.484,594,16
bcsstk03,1.42,640,16
bcsstk22,2.282,696,16
bcsstm19,1.57,817,16
shallow_water1,9.405,327680,32
nos1,1.838,1017,16
bcsstm08,1.869,1074,16
bcsstm09,1.505,1083,16
bcsstm11,1.899,1473,16
bcsstm26,2.361,1922,16
lund_b,1.705,2441,16
bcsstm23,3.472,3134,16
bibd_81_2,3.495,3240,16
bcsstm24,4.39,3562,16
bcsstm21,3.744,3600,16
nos2,1.969,4137,16
t2dal_e,3.636,4257,16
bcsstm25,8.088,15439,16
t3dl_e,8.205,20360,16
bcsstm39,9.384,46772,16
LFAT5000,8.876,79966,16
LF10000,9.935,99982,16
obstclae,11.489,197608,32
torsion1,11.386,197608,32
jnlbrng1,10.722,199200,32
Dubcova1,12.01,253009,32
crystm02,10.139,322905,64
shallow_water2,14.53,327680,32
offshore,166.266,4242673,1024
thermal2,205.193,8580313,2048
StocF-1465,262.247,21005389,4096
inline_1,238.773,36816342,5326
Emilia_923,220.567,41005206,5932
Hook_1498,197.768,60917445,8813
Geo_1438,297.731,63156690,9137
Serena,293.704,64531701,9336
bone010,217.829,71666325,10368
